Offer SKU,Product SKU,Category code,Category Label,Product,Offer state,Price,Quantity,Alert threshold,Logistic Class,Activated,Available Start Date,Available End Date
FINDSKI18052,MKL_1866263_3,sports & outdoors > winter sports > skis,Skis,Westige Pure Powder Twin Tip Snow Skis - 187cm,New,149.00,0,,OMW,no,,
FINDLEASHBODYBOARD,MKL_1894933_69,sports & outdoors > camping & hiking > equipment > camping tools,Camping Tools,FIND Bodyboard Coiled Leash Leg Rope,New,24.95,13,,SMW,yes,,
FINDSKI18040,MKL_1893447_199,sports & outdoors > winter sports > skis,Skis,Bluehouse District Powder Twin Tip Snow Skis - 176cm,New,149.00,0,,OMW,no,,
FINDSKI18042,MKL_1893398_92,sports & outdoors > winter sports > skis,Skis,Westige Pure Powder Twin Tip Snow Skis - 176cm,New,299.00,3,,OMW,yes,,
FINDSKI18054,MKL_1893398_82,sports & outdoors > winter sports > skis,Skis,Bluehouse The Shoots Powder Twin Tip Snow Skis - 191cm,New,149.00,0,,OMW,no,,
FINDSKI18041,MKL_1866131_121,sports & outdoors > winter sports > skis,Skis,Bluehouse Lady Powder Twin Tip Snow Skis - 176cm,New,149.00,0,,OMW,no,,
FINDSKI18044,MKL_1866324_71,sports & outdoors > winter sports > skis,Skis,Bluehouse Maestro Powder Twin Tip Snow Skis - 178cm,New,149.00,0,,OMW,no,,
FINDSKI18053,MKL_1866324_73,sports & outdoors > winter sports > skis,Skis,Bluehouse Maven Powder Twin Tip Snow Skis - 189cm,New,149.00,0,,OMW,no,,
FINDSKI18046,MKL_1866324_76,sports & outdoors > winter sports > skis,Skis,Westige Migration Twin Tip Snow Skis - 180cm,New,149.00,0,,OMW,no,,
FINDSKI18049,MKL_1866131_111,sports & outdoors > winter sports > skis,Skis,Trans Powder Force Twin Tip Snow Skis - 180cm,New,149.00,0,,OMW,no,,
FINDSRF18019,MKL_1866324_100,sports & outdoors > water sports > surf > surfboards,Surfboards,"Force 8'6"" Ecoflex Epoxy Bamboo Minimal Surfboard",New,569.00,2,,OMW,yes,,
FIND17SURFCover6,MKL_1893447_166,sports & outdoors > water sports > surf > surfboards,Surfboards,6'0'' FIND Surfboard Cover,New,38.00,0,,OMW,no,,
SP040818096246,MKL_1893412_39,sports & outdoors > camping & hiking > sleeping > hammocks,Hammocks,Thermarest Slacker Hammock Single - Moss - Single,New,129.95,0,,SMW,no,,
FIND17SURFCover56,MKL_1866131_61,sports & outdoors > water sports > surf > surfboards,Surfboards,5'6'' FIND Surfboard Cover,New,33.00,0,,OMW,no,,
9321977695107,MKL_1866263_150,apparel & footwear > swimwear > bikinis,Bikinis,Ocean & Earth Ladies Twilight Bikini Aqua Ink - AquaInk Variant Size Value 10US,New,84.95,0,,SMW,no,,
FIND17SURFCover66,MKL_1894892_335,sports & outdoors > water sports > surf > surfboards,Surfboards,6'6'' FIND Surfboard Cover,New,44.00,0,,OMW,no,,
9321977695138,MKL_1866263_177,apparel & footwear > swimwear > bikinis,Bikinis,Ocean & Earth Ladies Twilight Bikini Aqua Ink - AquaInk Variant Size Value 16US,New,84.95,0,,SMW,no,,
886108879874,509373,apparel & footwear > apparel > pants,Pants & Capris,Columbia Silver Ridge Convertible Pants - Fossil Size 6,New,112.95,24,,SMW,yes,,
886535785915,476211,apparel & footwear > apparel > hoodies & sweatshirts,Hoodies & Sweatshirts,Columbia Women's Glacial Fleece III 1/2 Zip - Black Size M,New,60.95,0,,SMW,no,,
886108705043,583597,sports & outdoors > apparel > outdoor recreation > jackets & coats,Jackets & Coats,Columbia Men's Glennaker Lake Rain Jacket - Black/Grill Size L,New,85.95,0,,SMW,no,,
885491937659,MKL_393532_2,apparel & footwear > apparel > coats & jackets,Coats & Jackets,COLUMBIA MENS FAST TREK II FULL ZIP FLEECE BLACK Variant Size Value Small,New,85.95,5,,SMW,yes,,
885491937666,MKL_393532_4,apparel & footwear > apparel > coats & jackets,Coats & Jackets,COLUMBIA MENS FAST TREK II FULL ZIP FLEECE BLACK,New,85.95,6,,SMW,no,,
9321977714518,MKL_1866207_302,apparel & footwear > apparel > tees & tops,Tees & Tops,Ocean & Earth Boys Kraken L/Slve Tee - White Variant Size Value 16US,New,37.95,0,,SMW,no,,
9321977692762,MKL_1866207_228,apparel & footwear > apparel > tees & tops,Tees & Tops,Ocean & Earth Ladies Lucky Tank Top - Aqua Variant Size Value 10US,New,28.95,0,,SMW,no,,
9321977694629,MKL_1894530_154,apparel & footwear > swimwear > bikini bottoms,Bikini Bottoms,Ocean & Earth Ladies Varna Brazilian Pant Bikini Bottom  Ink - BlackInk Variant Size Value 10US,New,36.95,0,,SMW,no,,
9321977694636,MKL_1894530_155,apparel & footwear > swimwear > bikini bottoms,Bikini Bottoms,Ocean & Earth Ladies Varna Brazilian Pant Bikini Bottom  Ink - BlackInk Variant Size Value 12US,New,36.95,0,,SMW,no,,
9321977714501,MKL_1866207_201,apparel & footwear > apparel > tees & tops,Tees & Tops,Ocean & Earth Boys Kraken L/Slve Tee - White Variant Size Value 14US,New,37.95,0,,SMW,no,,
9321977692786,MKL_1866207_323,apparel & footwear > apparel > tees & tops,Tees & Tops,Ocean & Earth Ladies Lucky Tank Top - Aqua Variant Size Value 14US,New,28.95,0,,SMW,no,,
9321977645348,MKL_1866207_235,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Cosmic S/S Rash Shirt - Black Variant Size Value 14,New,42.95,0,,SMW,no,,
886535631168,509349,apparel & footwear > apparel > shorts,Shorts,Columbia Mens' Silver Ridge Cargo Shorts - Gravel Size 36,New,85.95,0,,SMW,no,,
885491142794,583348,apparel & footwear > apparel > coats & jackets,Coats & Jackets,Columbia Women's Fast Trek II Full Zip Fleece Jacket - Black Size XS,New,85.95,0,,SMW,no,,
886535631144,509348,apparel & footwear > apparel > shorts,Shorts,Columbia Mens' Silver Ridge Cargo Shorts - Gravel Size 34,New,85.95,0,,SMW,no,,
886535785908,476212,apparel & footwear > apparel > hoodies & sweatshirts,Hoodies & Sweatshirts,Columbia Women's Glacial Fleece III 1/2 Zip - Black Size S,New,60.95,0,,SMW,no,,
