Offer SKU,Product SKU,Category code,Category Label,Product,Offer state,Price,Quantity,Alert threshold,Logistic Class,Activated,Available Start Date,Available End Date
FINDLEASHBODYBOARD,MKL_1894933_69,sports & outdoors > camping & hiking > equipment > camping tools,Camping Tools,FIND Bodyboard Coiled Leash Leg Rope,New,24.95,13,,SMW,yes,,
FINDSKI18052,MKL_1866263_3,sports & outdoors > winter sports > skis,Skis,Westige Pure Powder Twin Tip Snow Skis - 187cm,New,149.00,0,,OMW,no,,
FINDSKI18040,MKL_1893447_199,sports & outdoors > winter sports > skis,Skis,Bluehouse District Powder Twin Tip Snow Skis - 176cm,New,149.00,0,,OMW,no,,
FINDSKI18042,MKL_1893398_92,sports & outdoors > winter sports > skis,Skis,Westige Pure Powder Twin Tip Snow Skis - 176cm,New,299.00,3,,OMW,yes,,
FINDSKI18054,MKL_1893398_82,sports & outdoors > winter sports > skis,Skis,Bluehouse The Shoots Powder Twin Tip Snow Skis - 191cm,New,149.00,0,,OMW,no,,
FINDSKI18049,MKL_1866131_111,sports & outdoors > winter sports > skis,Skis,Trans Powder Force Twin Tip Snow Skis - 180cm,New,149.00,0,,OMW,no,,
FINDSKI18041,MKL_1866131_121,sports & outdoors > winter sports > skis,Skis,Bluehouse Lady Powder Twin Tip Snow Skis - 176cm,New,149.00,0,,OMW,no,,
FINDSKI18044,MKL_1866324_71,sports & outdoors > winter sports > skis,Skis,Bluehouse Maestro Powder Twin Tip Snow Skis - 178cm,New,149.00,0,,OMW,no,,
FINDSKI18053,MKL_1866324_73,sports & outdoors > winter sports > skis,Skis,Bluehouse Maven Powder Twin Tip Snow Skis - 189cm,New,149.00,0,,OMW,no,,
FINDSKI18046,MKL_1866324_76,sports & outdoors > winter sports > skis,Skis,Westige Migration Twin Tip Snow Skis - 180cm,New,149.00,0,,OMW,no,,
FINDSRF18019,MKL_1866324_100,sports & outdoors > water sports > surf > surfboards,Surfboards,"Force 8'6"" Ecoflex Epoxy Bamboo Minimal Surfboard",New,569.00,2,,OMW,yes,,
FINDSKI18045,MKL_1893447_212,sports & outdoors > winter sports > skis,Skis,Matrix Powder Twin Tip Snow Skis - 180cm,New,299.00,4,,OMW,yes,,
FINDSKI18047,MKL_1866324_114,sports & outdoors > winter sports > skis,Skis,Westige Cannibal Twin Tip Snow Skis - 180cm,New,299.00,9,,OMW,yes,,
FINDSKI18051,MKL_1866263_54,sports & outdoors > winter sports > skis,Skis,Bluehouse Maven Powder Twin Tip Snow Skis - 187cm,New,299.00,1,,OMW,yes,,
FIND17SURFCover56,MKL_1866131_61,sports & outdoors > water sports > surf > surfboards,Surfboards,5'6'' FIND Surfboard Cover,New,33.00,0,,OMW,no,,
886535631168,509349,apparel & footwear > apparel > shorts,Shorts,Columbia Mens' Silver Ridge Cargo Shorts - Gravel Size 36,New,85.95,0,,SMW,no,,
885491142794,583348,apparel & footwear > apparel > coats & jackets,Coats & Jackets,Columbia Women's Fast Trek II Full Zip Fleece Jacket - Black Size XS,New,85.95,0,,SMW,no,,
