Active,SKU,Existing QTY,New Qty
False,9312701069976,0,0
False,9318070059912,0,0
False,9318070059929,0,0
False,9318070059936,0,0
False,9318070059943,0,0
True,9318070059950,0,0
False,9318070060000,0,0
False,9318070060017,0,0
False,9318070060024,0,0
False,9318070060031,0,0
True,9318070060055,0,0
True,9318070060062,0,0
True,9318070060079,1,1
True,9318070060086,0,0
False,9318070060376,0,0
False,9318070060383,0,0
True,9318070060437,0,0
True,9318070060444,29,29
True,9318070060451,14,14
True,9318070060475,0,0
True,9318070060482,0,0
True,9318070060499,75,75
True,9318070060505,41,41
True,9318070060529,0,0
True,9318070060536,0,0
True,9318070060543,136,136
True,9318070060550,92,92
True,9318070060574,0,0
True,9318070060581,0,0
True,9318070060598,72,72
True,9318070060604,58,58
True,9318070060628,0,0
True,9318070060635,0,0
True,9318070060642,57,57
True,9318070060659,44,44
True,9318070060673,0,0
True,9318070060680,0,0
True,9318070060697,45,45
True,9318070060703,21,21
True,9318070060727,0,0
True,9318070060734,0,0
True,9318070060741,27,27
True,9318070060758,15,15
True,9318070060772,0,0
False,9318070060789,0,0
False,9318070060796,0,0
False,9318070060802,0,0
False,9318070060826,0,0
False,9318070060833,0,0
False,9318070060840,0,0
False,9318070060857,0,0
False,9318070060871,0,0
False,9318070060888,0,0
False,9318070060895,0,0
False,9318070060901,0,0
False,9318070060925,0,0
False,9318070060932,0,0
False,9318070060949,0,0
False,9318070060956,0,0
False,9318070060970,0,0
False,9318070060987,0,0
False,9318070060994,0,0
False,9318070061007,0,0
False,9318070061021,0,0
False,9318070061045,52,52
True,9318070061076,0,0
False,9318070061090,66,62
True,9318070061120,0,0
False,9318070061144,53,49
True,9318070061175,0,0
False,9318070061199,51,45
True,9318070061229,0,0
False,9318070061243,54,53
True,9318070061274,0,0
False,9318070061281,0,0
False,9318070061298,0,0
False,9318070061304,0,0
False,9318070061328,0,0
False,9318070061335,0,0
False,9318070061342,0,0
False,9318070061359,0,0
False,9318070061373,0,0
False,9318070061380,0,0
False,9318070061397,0,0
False,9318070061403,0,0
False,9318070061427,0,0
False,9318070061434,0,0
False,9318070061441,0,0
False,9318070061458,0,0
False,9318070061472,0,0
False,9318070061489,0,0
False,9318070061496,0,0
False,9318070061502,0,0
False,9318070061526,0,0
True,9318070061533,0,0
True,9318070061540,24,24
True,9318070061557,20,20
True,9318070061571,0,0
True,9318070061588,0,0
True,9318070061595,40,40
True,9318070061601,37,38
True,9318070061625,0,0
True,9318070061632,0,0
True,9318070061649,100,100
True,9318070061656,47,47
True,9318070061670,0,0
True,9318070061687,0,0
True,9318070061694,90,90
True,9318070061700,87,87
True,9318070061724,0,0
True,9318070061731,0,0
True,9318070061748,31,31
True,9318070061755,43,43
True,9318070061779,0,0
True,9318070061786,0,0
True,9318070061793,55,55
True,9318070061809,2,2
True,9318070061823,0,0
True,9318070061830,0,0
True,9318070061847,56,57
True,9318070061854,14,14
True,9318070061878,0,0
False,9318070061885,0,0
False,9318070061892,0,0
False,9318070061908,0,0
False,9318070061922,0,0
False,9318070061939,0,0
False,9318070061946,0,0
False,9318070061953,0,0
False,9318070061977,0,0
False,9318070061984,0,0
False,9318070061991,0,0
False,9318070062004,0,0
False,9318070062028,0,0
False,9318070062035,0,0
False,9318070062042,0,0
False,9318070062059,0,0
False,9318070062073,0,0
False,9318070062080,0,0
False,9318070062097,0,0
False,9318070062103,0,0
False,9318070062127,0,0
True,9318070062134,0,0
True,9318070062141,63,63
True,9318070062172,0,0
False,9318070062189,0,0
False,9318070062196,73,72
True,9318070062219,0,0
True,9318070062226,0,0
True,9318070062233,0,0
True,9318070062240,101,101
True,9318070062271,0,0
True,9318070062288,0,0
True,9318070062295,48,48
True,9318070062325,0,0
True,9318070062332,0,0
True,9318070062349,38,38
True,9318070062370,0,0
False,9318070062387,0,0
False,9318070062394,0,0
False,9318070062400,0,0
False,9318070062424,0,0
False,9318070062431,0,0
False,9318070662440,0,0
False,9318070662457,0,0
False,9318070662471,0,0
False,9318070662488,0,0
False,9318070662495,0,0
False,9318070662501,0,0
False,9318070662525,0,0
False,9318070662532,0,0
False,9318070662549,0,0
False,9318070662556,0,0
False,9318070662563,0,0
False,9318070662570,0,0
False,9318070662587,0,0
False,9318070662594,0,0
False,9318070662600,0,0
False,9318070662624,0,0
False,9318070662648,0,0
False,9318070662679,0,0
False,9318070662709,0,0
False,9318070662730,0,0
False,9318070662761,0,0
False,9318070662792,0,0
False,9318070662822,0,0
False,9318070662853,0,0
False,9318070662884,0,0
False,9318070662914,0,0
False,9318070662945,0,0
False,9318070662976,0,0
False,9318070662990,0,0
False,9318070663010,0,0
False,9318070663034,0,0
False,9318070663058,0,0
False,9318070663072,0,0
False,9318070663096,0,0
False,9318070663119,0,0
False,9318070663133,0,0
False,9318070663157,0,0
False,9318070663171,0,0
False,9318070663195,0,0
False,9318070663218,0,0
False,9318070663249,0,0
False,9318070663270,0,0
False,9318070663300,0,0
False,9318070663331,0,0
False,9318070663362,0,0
False,9318070663393,0,0
False,9318070663409,0,0
False,9318070663416,0,0
False,9318070663423,0,0
False,9318070663430,0,0
False,9318070663447,0,0
False,9318070663614,0,0
False,9318070663621,0,0
False,9318070663638,-1,0
False,9318070663645,0,0
False,9318070663652,0,0
False,9318070663669,0,0
False,9318070663676,1,1
False,9318070663683,0,0
False,9318070663690,-1,0
False,9318070663706,0,0
False,9318070663713,0,0
False,9318070663720,0,0
True,9318070663737,0,0
True,9318070663744,1,1
True,9318070663751,82,82
True,9318070663768,19,20
True,9318070663775,63,63
True,9318070663782,139,140
True,9318070663799,44,44
True,9318070663805,9,9
False,9318070663812,0,0
True,9318070664758,636,634
False,9318070665472,0,0
False,9318701000030,0,0
False,9318701000047,0,0
False,9318701000054,0,0
False,9318701000320,6,3
False,9318701000337,393,386
False,9318701000344,60,53
True,9318701000962,68,69
False,9318701000979,0,0
False,9318701001358,0,0
False,9318701001372,0,0
False,9318701001396,0,0
False,9318701001419,0,0
False,9318701001433,0,0
False,9318701001457,0,0
False,9318701001471,0,0
False,9318701001495,0,0
False,9318701001853,0,0
False,9318701001860,-1,0
False,9318701001877,0,0
False,9318701001884,-1,0
False,9318701001891,0,0
True,9318701002140,166,166
True,9318701002164,170,169
True,9318701002188,378,374
True,9318701002201,366,364
True,9318701002225,663,657
True,9318701002249,795,785
True,9318701002263,725,713
True,9318701002393,68,68
True,9318701002409,109,109
True,9318701002416,144,138
True,9318701002423,158,160
True,9318701002430,234,233
False,9318701003062,0,0
False,9318701003130,-3,0
True,9318701003154,638,642
False,9318701003178,0,0
False,9318701003185,0,0
False,9318701003192,0,0
False,9318701003215,0,0
False,9318701003222,0,0
True,9318701003246,0,0
True,9318701003253,1,1
