Active,SKU,Existing QTY,New Qty
True,AL4596-028,0,0
True,886535451155,0,0
True,886535451179,0,0
True,886535451193,0,0
True,886535451216,0,0
True,886535451230,0,0
True,886535451254,0,0
True,886535451278,0,0
True,886535451292,0,0
True,AL4596-160,0,0
True,886535451339,0,0
True,886535451353,0,0
True,886535451377,0,0
True,886535451391,0,0
True,886535451414,0,0
True,886535451438,0,0
True,886535451452,0,0
True,886535451476,0,0
True,AL4596-508,0,0
True,888665149704,0,0
True,888665149728,0,0
True,888665149742,0,0
True,888665149766,0,0
True,888665149629,0,0
True,888665149643,0,0
True,888665149667,0,0
True,888665149681,0,0
True,AL6525-010,0,0
True,887921963566,0,0
True,887921963573,12,12
True,887921963580,18,18
True,887921963597,18,18
True,887921963603,11,11
True,AL7079-010,0,0
True,886108840300,11,11
True,886108840317,9,9
True,886108840324,11,11
True,886108840331,12,12
True,886108840348,11,11
True,AL7079-100,0,0
True,886108840355,0,0
True,886108840362,0,0
True,886108840379,0,0
True,886108840386,4,0
True,886108840393,0,0
True,AL7079-160,0,0
True,886108840409,0,0
True,886108840416,0,0
True,886108840423,4,7
True,886108840430,64,64
True,886108840447,46,41
True,AL7079-489,0,0
True,190540305977,0,0
True,190540305953,0,0
True,190540305946,0,0
True,190540305939,0,0
True,190540305960,0,0
True,AL7079-520,0,0
True,887921251342,0,0
True,887921251359,0,0
True,887921251366,0,0
True,887921251373,0,0
True,887921251380,0,0
True,AL7079-984,0,0
True,190178030791,0,0
True,190178030777,0,0
True,190178030760,0,0
True,190178030753,0,0
True,190178030784,0,0
True,AL8002-010,0,0
True,886108879270,0,0
True,886108879300,0,0
True,886108879331,0,0
True,886108879362,0,0
True,886108879393,0,0
True,886108879423,0,0
True,886108879454,0,0
True,886108879485,0,0
True,AL8002-028,0,0
True,886108879546,5,5
True,886108879577,0,0
True,886108879607,22,22
True,886108879638,18,18
True,886108879669,21,21
True,886108879690,0,0
True,886108879720,0,0
True,886108879751,0,0
True,AL8002-160,0,0
True,886108879812,11,11
True,886108879843,16,16
True,886108879874,23,24
True,886108879904,29,29
True,886108879935,6,6
True,886108879966,27,27
True,886108879997,0,0
True,886108880023,0,0
True,AL8002-211,0,0
True,190540367531,6,6
True,190540367562,16,16
True,190540367593,13,13
True,190540367623,25,25
True,190540367418,10,10
True,190540367449,3,3
True,AL8003-010,0,0
True,886108880610,0,0
True,886108880634,8,8
True,886108880658,12,12
True,886108880672,13,13
True,886108880696,10,10
True,886108880719,0,0
True,886108880733,0,0
True,886108880757,0,0
