Active,SKU,Existing QTY,New Qty
True,KA-TRO-100,-4,0
True,SWAG-BIKER-GS-GREY,-1,0
True,SWAG-BIKER-GS-NA,0,0
True,SWAG-BIKER-GS-RD,-1,0
True,SWAG-DOU-GS-BE,0,0
True,SWAG-DOU-GS-CE,80,80
True,SWAG-DOU-GS-GREY,59,63
True,SWAG-DOU-GS-NA,79,80
True,SWAG-SIN-GS-CE,37,38
True,SWAG-SIN-GS-GREY,39,42
True,SWAG-SIN-GS-NA,50,55
True,SWAG-WING-D-CE,12,17
True,SWAG-WING-D-DARKBLUE,7,14
True,SWAG-WING-D-DARKGREY,0,0
True,SWAG-WING-S-DARKBLUE,0,0
True,SWAG-WING-S-DARKGREY,50,56
True,KA-HOIST-SET-00-FC2,32,55
True,KA-SURF-RACK,80,80
True,KA-WHEEL-STEP,80,80
True,KA-HOIST-SET-00,-1,0
True,BS-86101-GC-FC2,80,80
True,BS-86101-GC,0,0
True,SB-ENV-CP-GREY,0,0
True,SB-ENV-D-BL,80,80
True,SB-ENV-CP-NA,0,0
True,SB-ENV-S-UB,0,0
True,SB-ENV-S-BL,80,80
True,SB-ENV-S-RB,35,42
True,SB-ENV-D-UB,46,50
True,SB-K2008-BL,6,13
True,SB-OVAL-XXL-BLUE,80,80
True,SB-OVAL-XXL-RED,0,0
True,SB-MICR-U,79,80
True,SB-MICR-GG,0,4
True,SB-OVAL-XXL-NAVY,79,80
True,CAMP-MAT-SUE-DOU-GREY,0,0
True,CAMP-MAT-SUE-SIN-GREY,79,80
True,BW-FL-BED-D-23,79,80
True,BW-RA-BED-Q-FO-46,80,80
True,BW-FL-BED-Q-24,80,80
True,BW-FL-BED-S-22,20,31
True,CAMP-MAT-SUE-DOU-NA,0,0
True,CAMP-MAT-SUE-SIN-NA,80,80
True,CAMP-MAT-INF-SIN-NA,64,80
True,CAMP-TENT-DOME12-NA,43,45
True,CAMP-TENT-CA4-NA,80,80
True,CAMP-TENT-DOME6-NA,61,69
True,CAMP-TENT-DOME4-NA,30,38
