Active,SKU,Existing QTY,New Qty
False,JA18300_000171,0,0
False,JP247786,0,0
False,JP247787,0,0
False,JP247788,0,0
False,JP247789,0,0
False,JP247790,0,0
False,JA18300_000283,0,0
False,JP252349,0,0
False,JP252350,0,0
False,JP252351,0,0
False,JP252352,0,0
False,JP252353,0,0
False,JA18300_000223,0,0
False,JP252343,0,0
False,JP252344,0,0
False,JP252345,0,0
False,JP252346,0,0
False,JP252347,0,0
False,JA18300_000159,0,0
False,JP247798,0,0
False,JP247799,0,0
False,JP247800,0,0
False,JP247801,0,0
False,JP247802,0,0
False,JA18299_000269,0,0
False,JP247710,0,0
False,JP247711,0,0
False,JP247712,0,0
False,JP247713,0,0
False,JP247714,0,0
False,JA18299_000171,0,0
False,JP247704,0,0
False,JP247705,0,0
False,JP247706,0,0
False,JP247707,0,0
False,JP247708,0,0
False,JA18292_000247,0,0
False,JP247829,0,0
False,JP247830,0,0
False,JP247831,0,0
False,JP247832,0,0
False,JP247833,0,0
False,JA18292_000171,0,0
False,JP247811,0,0
False,JP247812,0,0
False,JP247813,0,0
False,JP247814,0,0
False,JP247815,0,0
False,JA18293_000139,0,0
False,JP247729,0,0
False,JP247730,0,0
False,JP247731,0,0
False,JP247732,0,0
False,JP247733,0,0
False,JA18293_000261,0,0
False,JP247741,0,0
False,JP247742,0,0
False,JP247743,0,0
False,JP247744,0,0
False,JP247745,0,0
False,JA18293_000210,0,0
False,JP247735,0,0
False,JP247736,0,0
False,JP247737,0,0
False,JP247738,0,0
False,JP247739,0,0
False,JA18296_000171,0,0
False,JP247766,0,0
False,JP247767,0,0
False,JP247768,0,0
False,JP247769,0,0
False,JP247770,0,0
False,JA18147_00010,0,0
False,JP247779,0,0
False,JP247780,0,0
False,JP247781,0,0
False,JP247782,0,0
False,JP247783,0,0
False,JA18147_000171,0,0
False,JP247773,0,0
False,JP247774,0,0
False,JP247775,0,0
False,JP247776,0,0
False,JP247777,0,0
True,JA18297_000198,0,0
True,JP247862,5,5
True,JP247863,3,3
True,JP247864,4,4
True,JP247865,4,4
True,JP247866,4,4
True,JP247867,3,3
True,JA18297_000282,0,0
True,JP247855,0,0
True,JP247856,0,0
True,JP247857,0,0
True,JP247858,0,0
True,JP247859,3,3
True,JP247860,2,2
False,JA18288_000139,0,0
False,JP247891,0,0
False,JP247892,0,0
False,JP247893,0,0
False,JP247894,0,0
False,JP247895,0,0
False,JP254257,0,0
False,JA18288_000171,0,0
False,JP247905,0,0
False,JP247906,0,0
False,JP247907,0,0
False,JP247908,0,0
False,JP247909,0,0
False,JP254256,0,0
False,JA18288PWC_000171,0,0
True,JP247956,12,12
