Active,SKU,Existing QTY,New Qty
True,L0600B,0,0
True,L0600A,0,0
True,L0606A,0,0
True,L0605A,0,0
True,L0549A,-1,0
True,L0548A,0,0
True,L0357A,0,0
True,L0355A,0,556
True,L0356C,0,0
True,L0356D,227,163
True,L0356E,-1,0
True,L0356A,0,770
True,L0504A,0,0
True,L0559A,0,0
True,L0558A,0,0
True,L0550B,0,0
True,L0246A,-3,0
True,L0245A,0,0
True,L0670A,986,1000
True,L0501A,0,0
True,L0456A,411,0
True,L0457A,541,115
True,L0569A,0,0
True,L0593A,0,0
True,L0546A,0,0
True,L0526A,0,0
True,L0599B,1,0
True,L0599A,0,0
True,L0399A,0,0
True,L0338A,0,0
True,L0506A,998,679
True,L0506B,0,0
True,L0505A,459,293
True,L0505B,999,1000
True,L0567A,869,0
True,L0563A,0,567
True,L0564A,0,0
True,L0458A,0,0
True,L0459C,0,0
True,L0459A,289,0
True,L0481A,308,0
True,L0513A,0,0
True,L0435A,0,0
True,L0575A,0,0
True,L0574B,0,0
True,L0302A,0,0
True,L0607A,0,0
True,L0607B,0,0
True,L0603A,806,1000
True,L0602A,395,0
True,L0604A,0,0
True,L0587A,0,0
True,L0482C,0,0
True,L0482B,0,0
True,L0403A,999,1000
True,L0376B,169,16
True,L0376A,0,0
True,L0581A,0,0
True,L0580B,0,0
True,L0580A,0,0
True,L0497A,0,0
True,L0562A,0,0
True,L0514A,0,0
True,L0573A,0,0
True,L0499A,0,0
True,L0541A,0,0
True,L0305A,99,192
True,L0542A,0,0
True,L0380A,0,0
True,L0407C,584,207
True,L0407B,1000,779
True,L0407A,0,0
True,L0511A,0,0
True,L0561A,0,0
True,L0560A,0,0
True,L0586A,403,68
True,L0585A,0,0
True,L0585B,0,0
True,L0535B,0,0
True,L0533A,441,564
True,L0554A,0,0
True,L0496A,769,244
True,L0495B,451,398
True,L0495A,0,0
True,L0579A,0,0
True,L0578A,0,0
True,L0588A,0,57
True,L0589A,0,188
True,L0518C,0,0
True,L0518B,241,93
True,L0518A,0,0
True,L0525B,0,0
True,L0524A,0,0
True,L0583A,0,0
True,L0609A,0,0
True,L0609B,0,0
True,L0591A,0,0
True,L0590A,0,0
True,L0543B,0,0
True,L0544A,0,0
True,L0577A,0,0
True,L0577B,0,0
True,L0592A,0,0
True,L0592B,0,0
True,L0608B,0,0
True,L0608A,0,0
True,L0611A,0,0
True,L0611B,366,246
True,L0610A,-1,0
True,L0610B,0,0
True,L0432A,0,0
