Active,SKU,Existing QTY,New Qty
True,9321977000482,4518,4518
True,9321977000499,262,260
True,9321977000505,3243,3236
True,9321977009300,156,137
True,9321977009362,260,261
True,9321977009379,19,19
True,9321977009393,135,132
True,9321977009409,255,255
True,9321977009577,164,164
True,9321977009591,30,23
True,9321977009676,69,69
True,9321977056458,165,165
True,9321977058568,1441,1441
True,9321977058582,82,82
True,9321977058599,1402,1402
True,9321977089975,229,229
True,9321977090001,-1,8
True,9321977172080,1027,1028
True,9321977200158,55,55
True,9321977200172,37,37
True,9321977200189,82,82
True,9321977200196,128,128
True,9321977200202,32,32
True,9321977250658,50,50
True,9321977250665,129,129
True,9321977250672,30,30
True,9321977250689,100,100
True,9321977442121,0,0
True,9321977493901,0,0
True,9321977493994,0,0
True,9321977494205,782,768
True,9321977494212,650,630
True,9321977494229,2,0
True,9321977494243,177,171
True,9321977494250,0,0
True,9321977494267,98,98
True,9321977494281,0,0
True,9321977494328,681,660
True,9321977494335,123,88
True,9321977494366,100,95
True,9321977494373,106,106
True,9321977494403,127,107
True,9321977494410,121,101
True,9321977494489,138,138
True,9321977494878,6343,6345
True,9321977524209,341,339
True,9321977524216,206,185
True,9321977524223,175,175
True,9321977524230,99,98
True,9321977524827,0,0
True,9321977524834,142,142
True,9321977524841,0,0
True,9321977524858,14,21
True,9321977524872,34,35
True,9321977524889,466,467
True,9321977524926,57,54
True,9321977525282,37,37
True,9321977525305,0,4985
True,9321977527170,11,11
True,9321977527187,102,102
True,9321977527194,175,175
True,9321977527200,54,54
True,9321977527217,20,20
True,9321977556422,0,0
True,9321977556439,0,0
True,9321977556446,0,0
True,9321977556484,0,0
False,9321977556491,0,0
True,9321977556507,0,0
True,9321977556514,0,0
True,9321977556521,0,0
True,9321977556538,0,0
True,9321977556545,0,0
True,9321977556644,0,0
True,9321977556668,0,0
True,9321977556675,0,0
True,9321977556682,0,0
True,9321977556699,0,0
True,9321977556705,4,4
True,9321977556712,0,0
True,9321977556736,0,0
True,9321977556828,0,0
True,9321977556835,0,0
True,9321977556842,0,0
True,9321977556859,0,0
True,9321977556866,0,0
True,9321977556873,0,0
True,9321977556880,0,0
True,9321977556897,0,0
True,9321977557009,0,0
True,9321977557016,0,0
True,9321977557023,0,0
True,9321977557030,0,0
True,9321977557047,0,0
True,9321977557054,0,0
True,9321977557139,0,0
True,9321977557146,0,0
True,9321977557153,0,0
True,9321977557177,0,0
True,9321977557184,0,0
True,9321977557191,0,0
True,9321977557207,0,0
True,9321977557290,0,0
True,9321977557306,0,0
True,9321977557337,0,0
True,9321977557344,0,0
True,9321977557351,0,0
True,9321977557368,0,0
True,9321977557597,0,0
True,9321977557603,0,0
True,9321977557610,0,0
True,9321977557818,0,0
True,9321977557825,0,0
True,9321977557832,0,0
True,9321977557849,0,0
True,9321977557856,0,0
True,9321977557863,0,0
True,9321977557894,0,0
True,9321977557900,0,0
True,9321977557917,0,0
True,9321977557924,0,0
True,9321977557931,0,0
True,9321977557948,0,0
True,9321977557955,0,0
True,9321977558815,0,0
True,9321977558822,0,0
True,9321977558839,0,0
True,9321977558846,0,0
True,9321977558853,0,0
True,9321977558860,0,0
True,9321977558877,0,0
False,9321977558884,0,0
False,9321977559225,0,0
False,9321977559232,0,0
True,9321977559249,0,0
True,9321977559256,140,140
True,9321977559270,22,23
True,9321977559294,91,91
True,9321977559300,0,0
True,9321977559317,53,54
True,9321977559324,46,46
True,9321977559874,0,0
True,9321977000185,331,331
True,9321977000475,4,4
True,9321977000611,911,911
True,9321977000635,699,693
True,9321977000741,27,27
True,9321977000697,66,66
True,9321977000703,136,136
True,9321977000710,157,158
True,9321977000727,85,85
True,9321977000789,8,8
True,9321977009317,76,76
True,9321977009324,22,22
True,9321977009331,43,43
True,9321977009621,1696,1700
True,9321977009874,1333,1237
True,9321977009881,1859,1715
True,9321977009898,2112,2069
True,9321977524919,237,238
True,9321977524902,1169,1150
True,9321977524896,2279,2261
True,9321977009904,398,354
True,9321977058575,672,672
True,9321977066143,0,0
True,9321977066198,44,44
True,9321977200219,148,148
True,9321977200226,5,5
True,9321977200233,123,123
True,9321977200240,59,59
True,9321977200257,35,35
True,9321977200264,35,35
True,9321977200271,0,0
True,9321977587143,0,0
True,9321977587174,0,0
True,9321977587198,0,0
True,9321977587211,0,0
True,9321977587020,2,2
True,9321977587068,0,0
True,9321977587105,20,20
True,9321977495615,9,7
True,9321977495639,0,0
True,9321977495653,0,0
True,9321977586764,0,0
True,9321977525084,0,0
True,9321977508438,0,0
True,9321977487610,0,0
True,9321977298513,0,0
True,9321977487627,0,0
True,9321977298520,0,0
True,9321977487634,0,0
True,9321977298537,0,0
True,9321977302821,-1,0
True,9321977417075,50,50
True,9321977417082,101,101
True,9321977417099,105,105
True,9321977417600,1528,1528
True,9321977417624,669,669
True,9321977525992,50,50
True,9321977401968,0,0
True,9321977401975,0,0
True,9321977525947,182,182
True,9321977441995,0,0
True,9321977485142,119,119
True,9321977486149,244,244
True,9321977486156,121,121
True,9321977486163,279,279
True,9321977487238,53,53
True,9321977487245,59,59
True,9321977494823,84,85
True,9321977496339,0,0
True,9321977586962,0,0
True,9321977586979,0,0
True,9321977496360,0,0
True,9321977496384,0,0
True,9321977586986,0,0
True,9321977586993,0,0
True,9321977496391,0,0
