Active,SKU,Existing QTY,New Qty
True,PLG6112016641788,6,0
True,PLG6112201361668,0,0
False,PLG3412344531008,264,261
False,PLG3412341361008,261,255
False,PLG3412354531008,263,263
False,PLG3412351361008,259,259
False,PLG3412361361008,501,351
False,PLG3412369441008,211,210
False,PLG3412379441008,528,378
False,PLG3412371361008,221,217
True,PLG3412384531008,195,195
True,PLG3412381361008,166,166
True,PLG3412391361008,259,259
True,PLG3412392301008,702,702
True,PLG3412391961008,622,622
True,PLG31112405721008,373,373
True,PLG31112415721008,384,377
True,PLG31112425721008,133,133
True,PLG31112431001008,172,172
True,PLG31112441001008,180,180
True,PLG31112452841008,288,288
True,PLG31112462841008,315,314
True,PLG31112472841008,192,192
False,PLG31012491004508,175,174
False,PLG31012501003008,189,182
True,PLG3412701361003,26,8
True,PLG3412701541003,0,107
True,PLG3412702001003,0,0
True,PLG6113014841749,54,54
True,PLG31013140001008,0,0
True,PLG31013150001008,0,0
True,PLG31013160001008,0,0
True,PLG31013170001008,0,0
True,PLG31013180001008,0,0
True,PLG31013190001008,0,0
True,PLG31013200001008,0,0
True,PLG31013210001008,0,0
True,PLG31013220001008,0,0
True,PLG31013230001008,0,0
True,PLG31013240001008,0,0
True,PLG31013250001008,0,0
True,PLG31013260001008,0,0
True,PLG31013270001008,0,0
True,PLG31013280001008,0,0
True,PLG31013290001008,0,0
True,PLG31013300001008,0,0
True,PLG31013310001008,0,0
True,PLG31013320001008,0,0
True,PLG31013330001008,0,0
True,PLG31013340001008,0,0
True,PLG31113355791002,132,133
True,PLG31113361001002,0,0
True,PLG3413902001003,15,9
True,PLG3413901361003,36,26
True,PLG3413901541003,240,240
True,PLG3414101361003,104,87
True,PLG3414102001003,70,49
True,PLG3414101541003,23,10
True,PLG3414601541003,0,0
True,PLG3414602001003,0,0
True,PLG3414701361003,0,0
True,PLG3414701541003,0,0
True,PLG3414702001003,29,29
True,PLG3415304531004,58,55
True,PLG3415301361004,0,0
True,PLG3415303521004,0,0
True,PLG3415302001004,107,107
True,PLG3415703271006,160,160
True,PLG3415701361006,712,712
True,PLG3415801361006,137,137
True,PLG3415801541006,68,68
True,PLG3415803271006,15,15
True,PLG3415901541006,91,91
True,PLG3415901361006,156,156
True,PLG3415902001006,112,112
True,PLG3416001361006,72,72
True,PLG3416001541006,136,136
True,PLG3416501541006,205,205
True,PLG3416501361006,0,0
True,PLG3416503271006,0,0
True,PLG3416505271006,0,0
True,PLG3416801721004,13,13
True,PLG3416802001004,42,42
True,PLG3416802601004,106,106
True,PLG3416802181004,66,66
True,PLG3416902601004,0,0
True,PLG3416902181004,157,157
True,PLG3416901721004,15,15
True,PLG3416902001004,0,0
True,PLG3418405721005,91,91
True,PLG3418403271005,88,88
True,PLG3418401541005,0,0
True,PLG3418401361005,108,108
True,PLG3418501541005,177,176
True,PLG3418503271005,0,0
True,PLG3418505721005,75,75
True,PLG3418501361005,49,128
True,PLG3418603271005,31,31
True,PLG3418605721005,83,83
True,PLG3418601361005,14,74
True,PLG3418601541005,82,82
True,PLG3418805271006,0,0
True,PLG3418801541006,0,0
True,PLG3418802001006,0,0
True,PLG3418902001004,0,19
True,PLG3418901541004,242,240
True,PLG3418901361004,269,262
True,PLG3418904531004,218,218
True,PLG3419002001004,11,11
True,PLG3419004531004,195,275
True,PLG3419001541004,110,110
True,PLG3419001361004,56,114
True,PLG3219116191002,34,34
True,PLG3219111541002,0,0
True,PLG3219113021002,0,0
True,PLG3619509451006,0,0
True,PLG3619809471006,201,201
True,PLG3619909461006,142,141
True,PLG3620009451006,0,0
True,PLG3620059451006,356,353
True,PLG3420201361004,10,50
True,PLG3420201541004,4,4
True,PLG3420204531004,0,0
True,PLG3420202001004,10,10
True,PLG3420301541004,433,432
True,PLG3420301361004,104,104
True,PLG3420302001004,50,49
True,PLG3420304531004,35,113
True,PLG3222393021002,0,0
True,PLG3222391541002,0,0
True,PLG3425902001006,153,153
True,PLG3425901541006,131,131
True,PLG3425901361006,82,82
True,PLG3425905271006,79,79
True,PLG3428156441003,2,2
True,PLG3428152181003,177,177
True,PLG3428156461003,3,3
True,PLG3428202181003,140,140
True,PLG3428206461003,53,53
True,PLG3428206441003,0,0
True,PLG3428505721005,0,55
True,PLG3428501541005,107,97
True,PLG3428503271005,98,90
True,PLG3428501361005,91,78
True,PLG3428705721005,65,101
True,PLG3428703271005,48,36
True,PLG3428701361005,60,101
True,PLG3428701541005,38,31
True,PLG31128912721007,331,330
True,PLG31128916341007,341,340
True,PLG3430701361006,11,11
True,PLG3430701541006,35,35
True,PLG3433306441003,211,211
True,PLG3433302181003,150,149
True,PLG3433406441003,0,0
True,PLG3433402181003,93,93
True,PLG3433506441003,285,285
True,PLG3433502181003,55,55
True,PLG3433506461003,0,0
True,PLG3433506431003,0,0
True,PLG31133804561006,68,68
True,PLG31133904561006,197,197
True,PLG3435905721003,36,36
True,PLG3435901361003,0,0
True,PLG3436001361003,0,0
True,PLG3436005721003,82,82
True,PLG3436105721003,71,71
True,PLG3436101361003,171,171
True,PLG31038551001007,0,0
True,PLG31038561001007,0,0
True,PLG344000146100,144,144
True,PLG3440301361004,58,58
True,PLG3440302001004,161,161
True,PLG3440304531004,156,155
True,PLG3440303521004,1,0
True,PLG31042511001004,0,0
True,PLG31042521001004,0,0
True,PLG31042531001004,0,0
True,PLG3442541541007,214,214
True,PLG3442545721007,586,585
True,PLG3442541361007,412,410
True,PLG3442551361007,0,0
True,PLG3442552001007,44,44
True,PLG3442553271007,98,98
True,PLG3442551541007,9,9
True,PLG3442561361007,0,0
True,PLG3442561541007,28,28
True,PLG3442563271007,63,63
True,PLG3442565721007,37,37
True,PLG3442575721007,195,195
True,PLG3442573271007,174,173
True,PLG3442571541007,167,167
True,PLG3442572001007,166,166
True,PLG3442571361007,121,121
True,PLG3442582001007,184,184
True,PLG3442581361007,23,23
True,PLG3442585721007,196,196
True,PLG3442583271007,179,179
True,PLG3442581541007,128,128
True,PLG3842592841007,793,793
True,PLG3842591541007,789,789
True,PLG3842612841007,848,848
True,PLG3842611541007,515,515
True,PLG3842621541007,100,100
True,PLG3842622841007,219,219
True,PLG3842631541007,378,378
True,PLG3842635721007,182,182
True,PLG3842645721007,264,264
True,PLG3842641541007,929,929
True,PLG3842651541007,782,782
True,PLG3842655721007,64,64
True,PLG3842666161007,155,155
True,PLG3842666171007,733,733
True,PLG3842666151007,930,930
True,PLG3842676171007,229,229
True,PLG3842676161007,772,772
True,PLG3842676151007,759,759
True,PLG3842686161007,169,169
True,PLG3842686151007,266,266
True,PLG3842686171007,835,835
True,PLG3842696161007,393,393
True,PLG3842696171007,172,172
True,PLG3842696151007,428,428
True,PLG3842746151007,64,62
True,PLG3842746181007,164,164
True,PLG3842746161007,0,0
True,PLG3842756161007,15,15
True,PLG3842756181007,649,649
True,PLG3842756151007,179,179
True,PLG3842711541007,104,104
True,PLG3842715721007,82,82
True,PLG3842713761007,24,24
True,PLG3842723761007,5,5
True,PLG3842721541007,214,214
True,PLG3842725721007,133,133
True,PLG3842731541007,275,275
True,PLG3842733761007,0,0
True,PLG3842735721007,324,324
True,PLG3842766161007,150,150
True,PLG3842766151007,89,89
True,PLG3842775721007,190,190
True,PLG3842771541007,259,259
True,PLG3443901541007,415,411
True,PLG3443901361007,80,79
True,PLG3444001541007,66,53
True,PLG3444001361007,86,79
True,PLG344410146100,174,174
True,PLG344410310100,133,133
True,PLG3645809461006,0,0
True,PLG3646301541004,141,141
True,PLG3114760634100,37,37
True,PLG3114760272100,93,91
True,PLG3648301541004,110,110
True,PLG3449102001003,24,24
True,PLG3449105721003,0,78
True,PLG3449101361003,56,54
True,PLG3449101541003,0,58
True,PLG31152518282106,55,55
True,PLG31152515442106,20,20
True,PLG31152517422105,29,29
True,PLG31152515762106,124,124
True,PLG31152527412405,112,112
True,PLG31152525642406,27,27
True,PLG31152528282406,17,17
True,PLG31152705332404,64,112
True,PLG31152526882406,22,22
True,PLG31152527442405,20,20
True,PLG31152527422405,31,31
True,PLG31152707402404,23,23
True,PLG31152705312404,154,106
True,PLG31152527432405,20,20
True,PLG31152705322404,41,41
True,PLG31152525442406,0,0
True,PLG31152525542406,49,49
True,PLG31152524182406,52,52
True,PLG31152525762406,94,94
True,PLG31152545543006,12,12
True,PLG31152545763006,8,8
True,PLG31152546883006,164,164
True,PLG31152547413005,134,134
True,PLG31152547423005,27,27
True,PLG31152707403004,37,37
True,PLG31152705333004,142,142
True,PLG31152705313004,107,107
True,PLG31152548283006,74,74
True,PLG31152547443005,9,9
True,PLG31152547433005,34,34
True,PLG31152705323004,76,76
True,PLG31152545643006,51,51
True,PLG31152545443006,108,108
True,PLG31152544183006,29,29
True,PLG31152557454505,39,39
True,PLG31152705324504,0,0
True,PLG31152705334504,57,57
True,PLG31152707404504,19,19
True,PLG31152555764506,140,140
True,PLG31152555444506,29,29
True,PLG31152565763806,106,106
True,PLG31152567403806,75,75
True,PLG31152565443806,34,34
True,PLG31152567453806,56,56
True,PLG31052611001007,0,0
True,PLG31052621001007,0,0
True,PLG31052631001007,0,0
True,PLG31052641002407,0,0
True,PLG31052651002707,0,0
True,PLG31052661002407,0,0
True,PLG31052671002707,0,0
True,PLG31152701001003,119,119
True,PLG31152715801006,54,54
True,PLG31152725791006,109,109
True,PLG31152745781006,0,0
True,PLG31152755781006,61,61
True,PLG31152705771004,26,26
True,PLG3456801541006,99,99
True,PLG3456803271006,169,169
True,PLG3456805271006,0,0
True,PLG3456801361006,494,493
True,PLG3857631541007,683,683
True,PLG3857641541007,571,571
True,PLG3857651541007,461,461
True,PLG3458402001003,100,100
True,PLG3458401211003,0,0
True,PLG3458401361003,173,173
True,PLG3458401541003,32,30
True,PLG3458701002226,1803,1802
True,PLG3458731003336,2040,2038
True,PLG31158901001003,21,21
True,PLG31158911001006,506,506
True,PLG31159001001003,49,49
True,PLG3859204251003,19,19
True,PLG3859202841003,1,1
True,PLG3859203881003,4,4
True,PLG3859302841003,244,244
True,PLG3859301541003,110,110
True,PLG3859303881003,0,0
True,PLG3859304251003,45,45
True,PLG3859403881003,60,60
True,PLG3859402841003,79,79
True,PLG3859401541003,58,58
True,PLG3859404251003,86,86
True,PLG3859503021003,0,0
True,PLG3659603291003,9,9
True,PLG3659703291003,74,70
True,PLG3859803021003,0,0
True,PLG3859903021003,0,0
True,PLG31160001001003,80,80
True,PLG31160011001006,25,25
True,PLG3860203021003,157,157
True,PLG3860701541004,187,186
True,PLG3860703761004,293,293
True,PLG3860704251004,215,215
True,PLG3860703881004,21,21
True,PLG3860804251004,86,86
True,PLG3860803881004,0,0
True,PLG3860803761004,190,190
True,PLG3860904251004,0,0
True,PLG3860903761004,190,190
True,PLG3461002001004,53,53
True,PLG3461001541004,130,130
True,PLG3461001361004,0,0
True,PLG3461006501004,34,34
True,PLG3461101541004,0,0
True,PLG3461102001004,35,35
True,PLG3461201361004,0,0
True,PLG3461206631004,124,124
True,PLG3461206501004,98,98
True,PLG3461202181004,0,0
True,PLG3261501541004,392,392
True,PLG3261503021004,422,422
True,PLG3261603021004,83,83
True,PLG3261601541004,180,180
True,PLG31162005791004,0,0
True,PLG3862602841005,74,74
True,PLG3862601541005,61,61
True,PLG3862701541005,238,238
True,PLG3862702841005,215,215
True,PLG3862803021005,214,214
True,PLG3862902881005,454,454
True,PLG3863002881005,98,98
True,PLG3463105721005,80,79
True,PLG3463101541005,13,13
True,PLG3463103271005,38,38
True,PLG3463201541005,80,80
True,PLG3463201361005,0,0
True,PLG3463205721005,126,126
True,PLG3463303271005,0,0
True,PLG3463305721005,0,0
True,PLG3463405721005,0,0
True,PLG3463403271005,0,0
True,PLG3463503271005,55,55
True,PLG3463501361005,0,0
True,PLG3463501541005,0,0
True,PLG3463505721005,34,34
True,PLG3463601541005,65,65
True,PLG3463601361005,35,34
True,PLG3463605721005,60,60
True,PLG3463602001005,13,13
True,PLG3463702001006,296,296
True,PLG3463701361006,0,8
True,PLG3463701541006,142,142
True,PLG3463902061006,324,323
True,PLG3463901361006,189,189
True,PLG121108257017,3,3
True,PLG121118601017,48,48
True,PLG121118630017,10,10
True,PLG121118631017,22,22
False,PLG121120192018107,10,10
True,PLG121307877017,13,13
True,PLG121309520017,9,9
True,PLG121309524017,13,13
True,PLG121328339017,3,3
True,PLG121329512017,33,33
True,PLG121329536017,47,36
True,PLG121354786017,20,20
True,PLG121360043017,41,41
True,PLG121368297017,74,74
True,PLG121372495017,1,1
True,PLG121372504017,1,1
True,PLG121372508017,0,0
True,PLG121372512017,1,1
True,PLG121372513017,1,1
True,PLG121372514017,1,1
True,PLG121377658017,15,15
True,PLG121377659017,16,16
True,PLG121377660017,17,17
True,PLG121380472017,0,0
True,PLG111381879011600,5,5
True,PLG121996588017,25,25
True,PLG121996589017,24,24
True,PLG121996590017,4,4
True,PLG1211095551017,69,69
True,PLG1211095561017,67,67
True,PLG1213012531017,1,1
True,PLG121CMAVAHDBLK7,3,3
True,PLG1213095451020100,0,0
True,PLG1213095452010100,11,11
True,PLG1223095452027,10,10
True,PLG1213095541017,22,22
True,PLG121309557101003,32,32
True,PLG1213095621017,29,29
True,PLG1213095631017,6,6
True,PLG1213095641017,8,8
