Active,SKU,Existing QTY,New Qty
True,CK001-CRO-2XS,49,49
True,CK001-CRO-3XS,22,22
True,CK001-CRO-4XS,18,18
False,CK001-DOL-2XS,0,0
False,CK001-DOL-3XS,0,0
False,CK001-DOL-4XS,0,0
True,CK001-KOA-2XS,0,0
True,CK001-KOA-3XS,-1,0
True,CK001-KOA-4XS,22,22
False,CK001-SHE-2XS,0,0
False,CK001-SHE-3XS,0,0
False,CK001-SHE-4XS,0,0
False,CK001-XTM,0,0
False,CK002-BST-2XS,0,0
False,CK002-BST-S,0,0
False,CK002-BST-XS,0,0
False,CK002-FBL-2XS,0,0
False,CK002-FBL-S,0,0
False,CK002-FBL-XS,0,0
False,CK002-HPK-2XS,0,0
False,CK002-HPK-S,0,0
False,CK002-HPK-XS,0,0
False,CK002-NST-2XS,0,0
False,CK002-NST-S,0,0
False,CK002-NST-XS,0,0
False,CK002-XTM,0,0
True,CK003-BLK-L,1,1
True,CK003-BLK-M,-2,0
True,CK003-BLK-S,1,2
True,CK003-BLK-XS,0,0
False,CK003-COL-L,0,0
False,CK003-COL-M,0,0
False,CK003-COL-S,0,0
False,CK003-COL-XS,0,0
False,CK003-FBL-L,0,0
False,CK003-FBL-M,0,0
False,CK003-FBL-S,0,0
False,CK003-FBL-XS,0,0
False,CK003-HPK-L,0,0
False,CK003-HPK-M,0,0
False,CK003-HPK-S,0,0
False,CK003-HPK-XS,0,0
False,CK003-XTM,0,0
True,CK004-BLK-L,-1,0
True,CK004-BLK-M,1,1
True,CK004-BLK-S,3,3
True,CK004-BLK-XS,12,12
False,CK004-COL-L,0,0
False,CK004-COL-M,0,0
False,CK004-COL-S,0,0
False,CK004-COL-XS,0,0
False,CK004-FBL-L,0,0
False,CK004-FBL-M,0,0
False,CK004-FBL-S,0,0
False,CK004-FBL-XS,0,0
False,CK004-HPK-L,0,0
False,CK004-HPK-M,0,0
False,CK004-HPK-S,0,0
False,CK004-HPK-XS,0,0
False,CK004-XTM,0,0
True,CL001-BLK-L,1,1
True,CL001-BLK-M,6,6
True,CL001-BLK-S,13,13
True,CL001-BLK-XS,1,1
False,CL001-DGY-L,0,0
False,CL001-DGY-M,0,0
False,CL001-DGY-S,0,0
False,CL001-DGY-XS,0,0
True,CL001-LGY-L,1,2
True,CL001-LGY-M,12,12
True,CL001-LGY-S,12,12
True,CL001-LGY-XS,4,4
False,CL001-TBD-L,0,0
