Active,SKU,Existing QTY,New Qty
True,ZL7299R,20,10
True,ZL7399R,20,10
True,ZL7297,19,10
True,ZL7397,20,10
True,ZL7298,20,10
True,ZL7398,20,10
True,ZL7058,20,10
True,ZL7058YA,19,10
True,ZL8402,20,10
True,ZL8602,0,0
True,ZL8404,20,10
True,ZL9407Q,20,10
True,ZL6103,20,10
True,ZL6105,20,10
True,ZL6106,20,10
True,ZL9807M,0,0
True,ZL9421,0,0
True,ZL7708,20,10
True,ZL7784,18,10
True,ZL7799PT,20,10
True,ZL0380,20,10
True,ZL0386,19,10
True,ZL0389,20,10
True,ZL0382,19,10
True,ZL0381,19,10
True,ZL0342,20,10
True,ZL0334,20,10
True,ZL0337,0,0
True,ZL0333,19,10
True,ZL0377,19,10
True,ZL0376,20,10
True,ZL0373,20,10
True,ZL7703,4,10
True,ZL0316,20,10
True,ZL0319,20,10
True,ZL0317,19,10
True,ZLLL9747L0,11,10
True,ZLLL9748L0,16,10
True,ZL148021,20,10
True,ZL0362,20,10
True,ZL0312,20,10
True,ZL0042,20,10
True,ZL0041,20,10
True,ZL0361,20,10
True,XK1003153,-2,0
True,YL831937,0,0
True,YL831939,0,0
True,YL831943,0,0
True,YL850012N,20,10
True,YL850022N,19,10
True,YL850032N,20,10
True,YLA930350,20,10
True,YLA930374,19,10
True,YLA930370,20,10
True,YLA931015,20,10
True,YLA931009,20,10
True,YLA930368,20,10
True,YLA931014,20,10
True,YLA930378,20,10
True,YLA930360,20,10
True,YLA930355,20,10
True,YLA930382,20,10
True,YLS939910,17,10
True,YLA934855,15,10
True,YLA934850,17,10
True,YLA930379,16,10
True,YLA931013,20,10
True,YLA931012,0,0
True,YLA931003,19,10
True,YLA930377,20,10
True,YLS934885,17,10
True,YLS934835,18,10
True,YLS939906,18,10
True,YLS934825,19,10
True,YLS930371,20,10
True,YLS931005,20,10
True,YLS930366,20,10
True,YLA931001,0,0
True,YLA931018,20,10
True,YLA931019,20,10
True,YLA930365,16,10
True,YMBIS11AP,20,10
True,YMBW14,20,10
True,YMBW16,20,10
True,YMBW22,20,10
True,YMBW16OL,20,10
True,YM7121,19,10
True,YM95180,20,10
True,YM95191,20,10
True,YM95220,20,10
True,YMGAZ8A,20,10
True,YMHORW,20,10
True,YMIBEX8R,20,10
True,YMKODIAK10G,20,10
True,YMKODIAK10M,20,10
True,YM5161M,20,10
True,YM5161,20,10
True,YMMIR18,20,10
True,YMMIR20,20,10
True,YMMIRAGE18NM,20,10
True,YMMOU6R,20,10
True,YM7221,20,10
True,YM3160,20,10
True,YMBW26,20,10
True,YMPIO14NL,20,10
True,YM2512,20,10
True,YMRANGER14OL,20,10
True,YMRHINO10CO,20,10
True,YMSCO18W,20,10
True,YMSCO19W,20,10
True,YMSCO26W,20,10
True,YMSCO26WSK,20,10
True,YMSCORPION18NM,20,10
True,YMSIO10G,20,10
True,YMPICKAS,20,10
True,YMSTOW,20,10
True,YM5514,20,10
True,YM5516,20,10
True,YM85141,20,10
True,YM85160,20,10
True,YM85180,20,10
True,YMTYP15N,20,10
True,YMTYP15W,20,10
True,YM21833,20,10
True,YHCCD4,20,10
True,YH50264,19,10
True,YHMBS6,20,10
True,YH50025,20,10
True,YHBHS,20,10
True,YHDBSC,20,10
True,YHDBSC115,20,10
True,YHDBSF,20,10
True,YHDBSF115,20,10
True,YHDCS4,20,10
True,YHDRET,20,10
True,YH50363,19,10
True,YHEZCDWIP,20,10
True,YH50380,20,10
True,YH50008,20,10
True,YH50090,20,10
True,YH50047,20,10
True,YH50134,20,10
True,YH50279,20,10
True,YHJIFFSFB,19,10
True,YHJIFFS,20,10
True,YH50185,20,10
True,YH50352,20,10
True,YHPP1,20,10
True,YH50364,19,10
True,YHHON1,17,10
True,YHPSMA,20,10
True,YHPSFA,20,10
True,YHTRI6,20,10
True,YHCCKS,20,10
