Active,SKU,Existing QTY,New Qty
True,KA-TRO-100,-3,0
True,SWAG-BIKER-GS-GREY,19,0
True,SWAG-BIKER-GS-NA,0,0
True,SWAG-BIKER-GS-RD,-1,0
True,SWAG-DOU-GS-BE,0,0
True,SWAG-DOU-GS-CE,80,80
True,SWAG-DOU-GS-GREY,74,63
True,SWAG-DOU-GS-NA,79,80
True,SWAG-SIN-GS-CE,53,38
True,SWAG-SIN-GS-GREY,60,42
True,SWAG-SIN-GS-NA,65,55
True,SWAG-WING-D-CE,48,17
True,SWAG-WING-D-DARKBLUE,58,14
True,SWAG-WING-D-DARKGREY,32,0
True,SWAG-WING-S-DARKBLUE,0,0
True,SWAG-WING-S-DARKGREY,77,56
True,KA-HOIST-SET-00-FC2,80,55
True,KA-SURF-RACK,80,80
True,KA-WHEEL-STEP,80,80
True,KA-HOIST-SET-00,79,0
True,BS-86101-GC-FC2,80,80
True,BS-86101-GC,0,0
True,SB-ENV-CP-GREY,0,0
True,SB-ENV-D-BL,80,80
True,SB-ENV-CP-NA,0,0
True,SB-ENV-S-UB,0,0
True,SB-ENV-S-BL,80,80
True,SB-ENV-S-RB,80,42
True,SB-ENV-D-UB,59,50
True,SB-K2008-BL,27,13
True,SB-OVAL-XXL-BLUE,80,80
True,SB-OVAL-XXL-RED,0,0
True,SB-MICR-U,79,80
True,SB-MICR-GG,64,4
True,SB-OVAL-XXL-NAVY,79,80
True,CAMP-MAT-SUE-DOU-GREY,32,0
True,CAMP-MAT-SUE-SIN-GREY,79,80
True,BW-FL-BED-D-23,22,80
True,BW-RA-BED-Q-FO-46,80,80
True,BW-FL-BED-Q-24,80,80
True,BW-FL-BED-S-22,73,31
True,CAMP-MAT-SUE-DOU-NA,0,0
True,CAMP-MAT-SUE-SIN-NA,80,80
True,CAMP-MAT-INF-SIN-NA,80,80
True,CAMP-TENT-DOME12-NA,68,45
True,CAMP-TENT-CA4-NA,80,80
True,CAMP-TENT-DOME6-NA,80,69
True,CAMP-TENT-DOME4-NA,76,38
True,TAN-TENT-CR-DOU-NA,78,80
True,TAN-TENT-CR-SIN-NA,79,80
True,AWN-CAR-30X20-ETN,80,80
True,COVER-CV-DCS-XS,80,62
True,COVER-CV-DCS-S,80,61
True,COVER-CV-DCS-M,80,59
True,COVER-CV-DCS-L,80,80
True,COVER-CV-DCS-XL,80,32
True,CAMP-TANK-40L-GREY,80,48
True,BW-RA-BED-Q-67403-46,75,32
True,CAMP-TOILET-20L-T,79,27
True,CAMP-TOILET-20L-T-FC,80,76
True,PICNIC-2PPL-COOLER-BK,0,6
True,PICNIC-4PPL-STRIPE-BUPK,0,80
True,PICNIC-4PPL-CHEESE-BR,0,63
True,PICNIC-4PPL-COOLER-RD,21,0
True,PICNIC-4PPL-COOLER-NAVY,0,0
True,PICNIC-2PPL-BASKET-WH,0,5
True,CAR-BK-CARRIER-EURO4,80,39
True,FIT-H-VP-ROUND-BK,80,80
True,FIT-H-VP-ROUND-RD,80,80
True,FIT-H-VP-ROUND-WH,80,80
True,FIT-E-DB-SET-15KG,80,56
True,FIT-E-BAR-168-RC3,0,80
True,FIT-E-DB-SET-20KG,80,80
True,FIT-E-DB-SET-25KG,80,80
True,FIT-E-DB-SET-35KG,80,80
True,FIT-E-SEGA-FID-03,60,80
True,AES-T001B-BLS-4,31,80
True,FIT-E-CDB-SET-M,19,36
True,FIT-E-DB-SET-30KG,80,80
True,FIT-E-SEGA-FID-01,80,80
True,AES-T001B,80,80
True,AES-T002,80,80
True,AES-T003,79,80
True,AES-T001B-BLS,47,25
True,FIT-E-KB-12KG-BLACK,80,80
True,FIT-E-KB-16KG-BLACK,80,77
True,FIT-C-UTMBAG-30KG-BK,80,80
True,FIT-C-WEIGHT-AN-5KG-BK,2,80
True,AES-KB22K,0,80
True,FIT-E-SQ-RACK,12,80
True,FIT-E-DBR-PS6,34,80
True,TAN-POP-GOLF-NA,80,31
True,AWN-CAR-25X30-GREY,17,5
True,AWN-CAR-20X30-GREY,75,42
True,FIT-E-SEGA-FID-02,39,80
True,SB-ENV-D-RB,0,0
True,FIT-E-BENCH-90-AB,0,80
True,FIT-C-BENCH-FLAT,80,56
True,CAMP-TANK-40L-BLUE,80,80
True,AWN-CAR-25X30-GREY-NET,13,6
True,TAN-TENT-ST-DOU-NA,80,80
True,FIT-H-VP-ROUND-RDDP,80,79
True,V13-FLCL72,80,80
True,PFN-C-WEA-55-SK,0,0
True,V28-ELEDIGEI-KS5D9,23,23
True,V28-ELEDIGEIMOB680,28,28
True,ANNEXE-MAT-3M-GREY,0,0
True,ANNEXE-MAT-4M-GREY,80,80
True,ANNEXE-MAT-5M-GREY,80,80
True,ANNEXE-MAT-6M-GREY,80,80
True,ANNEXE-MAT-7M-GREY,80,64
True,ANNEXE-MAT-4M-GREEN,0,0
True,ANNEXE-MAT-5M-GREEN,0,0
True,CAMP-TENT-DOME12-DX,80,66
True,SB-ENV-S-20-BL,41,30
True,V28-ELEDIGEIB1106,30,30
True,BW-KAYAK-65077,80,80
True,V28-ELEDIGEI-KS5D5,29,29
True,CAMP-TENT-DOME8-NA,55,24
True,SWAG-WING-D-GREY,47,29
True,SWAG-WING-D-RED,74,51
True,SWAG-WING-S-CE,33,15
True,FIT-E-BENCH-80-BF,0,0
True,BS-86563-GB,57,37
True,BS-86563-WC,0,0
True,CAMP-TENT-POP3-NA,0,0
True,BW-SUP-65055,80,80
True,CAMP-TENT-BEA-TRI,80,0
True,CAMP-TENT-BEA-ARCH,80,80
True,CAMP-TENT-BEA-4P,80,80
True,CAMP-STAND-19L-GREY,80,51
True,TMILL-280-BK,80,80
True,TJBC-1719-GR,80,80
True,TJBC-1921-GR,80,80
True,TJBC-2123-GR,78,80
True,TJBC-2325-GR,80,80
True,TJBC-2527-GR,80,80
True,FIT-E-BENCH-80-GREY,0,65
True,AWN-CAR-30X30-GREY,0,0
True,AWN-CV-SS-34,80,63
True,AWN-CV-SS-43,15,80
True,AWN-CV-SS-52,80,63
True,AWN-CV-SS-END,80,80
True,AWN-CV-SS-POP,49,34
True,AWN-CV-SS-37,18,3
True,AWN-CV-SS-40,80,71
True,AWN-CV-SS-46,20,0
True,AWN-CV-SS-49,57,39
True,ROWING-ELA-4L,80,80
True,ROWING-OIL-360,25,0
True,ROWING-CYCLONE-L10,43,32
True,CAMP-MAT-SUE-DF-GREY,3,0
True,CAMP-MAT-INF-DF-GREY,80,80
True,CAMP-MAT-SUE-DT-GREY,58,0
True,TMILL-280-RD,80,80
True,BW-TENT-68015,79,31
True,BW-TENT-68002,79,80
True,AM-SUP-BT-88878,26,13
True,AM-KAYAK-HM-412,80,80
True,MDETECTOR-C-GC1010,79,80
True,MDETECTOR-C-GC1028,0,80
True,MDETECTOR-C-GC1037,80,80
True,MDETECTOR-C-GC1065,77,66
True,MDETECTOR-C-GC2007,80,0
True,BS-86202-GB-40,80,80
True,BS-86202-GC-40,78,80
True,BS-86202-WB-40,80,80
True,ATM-3-1-01M-PK,45,5
True,ATM-3-1-01M-BL,0,0
True,ATM-3-1-01M-MG,80,80
True,ATM-3-05-01M-PK,10,0
True,ATM-3-05-01M-MG,75,46
True,ATM-BK-AP,80,80
True,ATM-BK-HP,80,80
True,V94-CAM-CLL-F-1.3M,69,66
True,CAMP-TENT-CA6-NA,80,80
True,CAMP-TENT-HIK-V1,28,0
True,TAN-TENT-CR-AUTO-DOU,80,80
True,BIKE-6-BK,77,79
True,BIKE-5-BK,80,80
True,BIKE-4-BK,80,80
True,BIKE-4-SI,80,80
True,BIKE-3-BK,80,80
True,CAMP-STAND-43L-GREY,80,80
True,CAMP-TOILET-EPOT-HL-GR,71,46
True,CAMP-T-MDF-85,15,80
True,CAMP-T-MDF-120,80,80
True,CAMP-T-MDF-240,80,80
True,CAMP-C-50-WR-FC2,0,0
True,CAMP-C-50-BL-FC2,37,0
True,CAMP-C-61-NA-FC2,0,0
True,CAMP-C-61-BL-FC2,0,0
True,CAMP-C-61-GR-FC2,0,80
True,TM-NRS-42-BK,0,0
True,TM-NRS-60-BK,26,0
True,TM-NRS-70-BK,0,0
True,TM-NRS-92-BK,0,0
True,CAMP-T-ALUM-70,80,80
